id,author,state,created_at,closed_at,title
2454751286,xiao-donghu,closed,2024-08-08 02:38:55+00:00,2024-08-08 02:41:42+00:00,"When  running imputation task by TimesNet, it raise size invalid"
2453729541,feifei05,closed,2024-08-07 15:08:28+00:00,2024-08-08 04:38:27+00:00,初学者如何用自己的数据集训练吖？
2450483236,holderhe,open,2024-08-06 10:06:46+00:00,,Add mWDN to the library
2448307965,YWzzq,closed,2024-08-05 11:24:08+00:00,2024-08-08 03:02:09+00:00,分类任务运行报错
2446898719,revv00,closed,2024-08-04 07:31:54+00:00,2024-08-08 04:34:36+00:00,"Not actually an issue, just a potential problem."
2446320913,gyangyun,closed,2024-08-03 12:04:59+00:00,2024-08-03 12:06:47+00:00,add industry electricity data
2446320834,gyangyun,closed,2024-08-03 12:04:47+00:00,2024-08-03 12:06:28+00:00,add industry electricity data
2442179696,ChesonHuang,closed,2024-08-01 11:12:47+00:00,2024-08-06 06:45:37+00:00,短期的预测可以使用小波变换吗？
2439432462,oschan77,closed,2024-07-31 08:19:56+00:00,2024-08-06 06:46:44+00:00,自己数据集的 TypeError: cannot unpack non-iterable NoneType object 问题
2434980843,raiy236,closed,2024-07-29 09:57:50+00:00,2024-08-08 03:29:35+00:00,"set channel independence as '0', occur dimension error"
2434324871,blacksnail789521,closed,2024-07-29 02:36:53+00:00,2024-07-29 03:13:25+00:00,use true - pred in M*E
2429794783,Leeboom7,closed,2024-07-25 12:05:48+00:00,2024-07-25 20:52:18+00:00,如何做数据集以外的未来预测
2428846783,Yewx0310,closed,2024-07-25 02:47:50+00:00,2024-07-25 20:51:36+00:00,请问能否进行多序列multiple series预测？
2426522573,LiZhongcai,closed,2024-07-24 03:34:05+00:00,2024-07-26 09:04:15+00:00,运行run.py时出现下面的错误
2426429504,realwangjiahao,closed,2024-07-24 01:58:47+00:00,2024-07-24 02:10:35+00:00,实验结果会放在哪个文件夹下面呢
2425273256,blacksnail789521,closed,2024-07-23 13:49:08+00:00,2024-07-23 19:15:48+00:00,remove act and dropout for dlinear's classification
2425006430,mauricekraus,closed,2024-07-23 11:48:36+00:00,2024-08-20 11:28:32+00:00,Fix Monthly split for M4 Comp
2424745782,LeqiGu,closed,2024-07-23 09:43:15+00:00,2024-07-23 19:19:24+00:00,TimesNet中pred_len
2424628226,RuojiWang,closed,2024-07-23 08:48:10+00:00,2024-07-23 19:21:17+00:00,how to solve ModuleNotFoundError: No module named 'mamba_ssm'
2424524668,Chuan112233,closed,2024-07-23 07:56:07+00:00,2024-07-23 19:22:45+00:00,验证损失低于训练损失
2423312413,shunai,closed,2024-07-22 16:44:44+00:00,2024-07-23 01:58:12+00:00,能否提供预测代码？
2421180504,Uncle-George-13,closed,2024-07-21 02:34:12+00:00,2024-07-21 06:48:16+00:00,关于数据维度的问题
2420730044,TianlinZhang668,closed,2024-07-20 08:32:14+00:00,2024-07-21 06:49:08+00:00,imputation的mask问题
2418564225,QiSu77,closed,2024-07-19 10:21:07+00:00,2024-07-19 15:48:55+00:00,TimesNet's wrong code.
2417993050,kukimika,closed,2024-07-19 05:53:28+00:00,2024-07-19 07:39:52+00:00,关于没有真实OT值的预测
2416408711,qq1029337471,closed,2024-07-18 13:37:24+00:00,2024-07-23 19:23:27+00:00,关于 checkpoint
2415077337,Uncle-George-13,closed,2024-07-18 02:31:39+00:00,2024-07-18 02:43:20+00:00,关于TIMEsnet异常检测SMD数据集的问题
2414985250,TianlinZhang668,closed,2024-07-18 01:36:20+00:00,2024-07-18 02:37:35+00:00,How to inference prediction not test using iTransformer?
2414029961,TianlinZhang668,closed,2024-07-17 16:16:35+00:00,2024-07-18 03:08:22+00:00,有关MS问题的解释
2410655955,IKetchup,closed,2024-07-16 09:23:50+00:00,2024-07-17 00:49:44+00:00,Use my own dataset from multi-variate regression task
2408698585,EVEREST-dlk,closed,2024-07-15 13:04:52+00:00,2024-07-15 13:09:15+00:00,看错了不好意思
2406920779,liuquangao,closed,2024-07-13 13:21:29+00:00,2024-07-14 03:37:13+00:00,Update exp_long_term_forecasting.py
2406161057,thawn,open,2024-07-12 18:49:28+00:00,,refactored into a python package
2404787645,Et6an,closed,2024-07-12 05:31:16+00:00,2024-07-14 03:10:43+00:00,How to calculate flops or params?
2402101221,666-will,closed,2024-07-11 02:39:09+00:00,2024-07-12 01:45:05+00:00,TimeXer是往因子挖掘上靠了吗
2402070633,MarigoldDrift,closed,2024-07-11 02:13:34+00:00,2024-07-14 03:37:41+00:00,Error reshaping prediction shape
2397038349,laowalter,closed,2024-07-09 03:42:23+00:00,2024-07-09 16:09:39+00:00,Dataset_Custom scaler user different data on  self.scaler.fit and scaler transform
2394030352,longtylata,closed,2024-07-07 12:17:53+00:00,2024-07-07 12:20:30+00:00,Sorry
2392947118,IanBluth,closed,2024-07-05 17:35:13+00:00,2024-07-14 11:28:19+00:00,TimeMixer Tensor Size Runtime Error
2388448235,nizhenliang,closed,2024-07-03 12:00:07+00:00,2024-07-14 03:44:12+00:00,运行Nonstationary_Transformer报维度错误
2387487872,DirectorZ1,closed,2024-07-03 02:14:58+00:00,2024-07-11 04:02:39+00:00,请问各位大佬，想用自己的数据训练，都需要修改什么呢？
2387148116,AMilkov,closed,2024-07-02 20:54:45+00:00,2024-07-14 03:12:17+00:00,Classification with custom dataset - CSV file
2383512681,kwuking,closed,2024-07-01 10:53:25+00:00,2024-07-01 13:20:18+00:00,Update TimeMixer to add analysis task of time series
2381621654,yulinstudy,closed,2024-06-29 09:45:39+00:00,2024-06-29 10:29:56+00:00,ValueError: __len__() should return >= 0
2377450909,lyzltysgithub,closed,2024-06-27 08:02:42+00:00,2024-06-27 14:21:38+00:00,请问能否进行多序列multiple series预测？
2374099928,tribeband,closed,2024-06-26 03:21:39+00:00,2024-06-26 05:08:47+00:00,dataset - SWAT/MSL
2369294511,YuboCoco,closed,2024-06-24 06:00:27+00:00,2024-06-24 08:04:32+00:00,请问timeXer的code会开源吗
2363837763,yyqRua,closed,2024-06-20 08:23:29+00:00,2024-06-21 04:31:40+00:00,TimeMixer代码运行报错
2363356375,YuMeng2v,open,2024-06-20 02:00:06+00:00,,Multi-GPU support
2361450580,liaom5,closed,2024-06-19 06:37:30+00:00,2024-07-14 03:03:18+00:00,module 'torch.optim' has no attribute 'RAdam'
2359672001,boringtomato,closed,2024-06-18 11:50:04+00:00,2024-06-18 12:46:20+00:00,将electricity换成自己的数据集，特征维度改变了，其他参数都没变，最终预测效果不好是为什么？
2358743621,Ljw3336699,closed,2024-06-18 02:46:16+00:00,2024-07-14 03:11:32+00:00,The code cannot run
2358631552,Flying7514,closed,2024-06-18 01:34:15+00:00,2024-06-18 02:09:39+00:00,Normalization from Non-stationary Transformer
2355761767,deepcomp2023,closed,2024-06-16 13:13:48+00:00,2024-06-17 02:50:33+00:00,About the details of datasets
2350894428,chenzehao82,closed,2024-06-13 11:25:36+00:00,2024-06-14 01:46:56+00:00,关于TimesNet的周期计算
2345093784,warmful-sun,closed,2024-06-11 00:40:07+00:00,2024-06-11 09:18:29+00:00,更换自己数据集遇见的问题
2343246837,warmful-sun,closed,2024-06-10 08:32:45+00:00,2024-06-14 01:47:34+00:00,尊敬的作者您好，我在short_term_forecast预测使用M4数据时遇到了这些问题：
2332775355,isCopyman,closed,2024-06-04 07:33:23+00:00,2024-06-05 01:57:26+00:00,Are the methods currently implemented in the code repository not taking covariates into account?
2330967738,dayu-chen,closed,2024-06-03 12:03:48+00:00,2024-06-03 13:26:38+00:00,异常检测的f1分数虚高太多
2329780886,Ruifeng-Tan,closed,2024-06-02 17:31:50+00:00,2024-06-03 13:23:58+00:00,correct the normalization in PatchTST
2327087691,ipe-zhangyz,closed,2024-05-31 06:49:57+00:00,2024-06-03 13:30:22+00:00,How does the model learn seasonal patterns?
2322244220,calamityttc,closed,2024-05-29 02:49:48+00:00,2024-06-14 01:49:17+00:00,Unified hyperparameter in TimeMixer/Itransformer
2321418982,houghtonweihu,closed,2024-05-28 15:52:46+00:00,2024-06-14 01:51:00+00:00,How to do anomaly detection using Mamba?
2321061844,ztxtech,open,2024-05-28 13:23:33+00:00,,关于引入json格式的运行超参数
2321037662,Musongwhk,closed,2024-05-28 13:12:54+00:00,2024-05-28 13:14:35+00:00,add TemporalFusionTransformer
2320069334,ipe-zhangyz,closed,2024-05-28 03:55:32+00:00,2024-05-28 04:02:52+00:00,difference between long_term_forecasting and short_term_forecasting in this library
2319378361,well0203,closed,2024-05-27 15:16:25+00:00,2024-05-28 04:04:43+00:00,PatchTST. No self-supervised?
2318070229,gaoxuezhao,closed,2024-05-27 01:52:29+00:00,2024-05-27 09:08:25+00:00,closed 
2317749228,LeqiGu,closed,2024-05-26 14:50:46+00:00,2024-06-03 13:32:31+00:00,dataloder的shuffle问题
2316680278,LeqiGu,closed,2024-05-25 04:20:08+00:00,2024-05-26 13:29:49+00:00,模型重置权重问题
2314101334,mononitogoswami,closed,2024-05-24 01:00:36+00:00,2024-07-14 12:03:00+00:00,Add MOMENT to the library
2310579536,xinzhichao,closed,2024-05-22 13:42:33+00:00,2024-05-23 06:38:06+00:00,如何更改程序实现回归预测呢
2310264668,calamityttc,closed,2024-05-22 11:15:30+00:00,2024-05-22 11:26:42+00:00,超参数搜索
2309589890,bxdgl,closed,2024-05-22 05:15:00+00:00,2024-05-23 07:14:51+00:00,数据处理脚本
2307451360,tjnkyqcy,closed,2024-05-21 06:41:54+00:00,2024-05-27 09:10:04+00:00,data_loader.py中的数据标准化问题
2300204410,534145232,closed,2024-05-16 11:56:16+00:00,2024-07-14 04:34:39+00:00,Something wrong when I set the inverse as True
2298618651,Glaadiss,closed,2024-05-15 18:55:15+00:00,2024-05-16 13:06:38+00:00,Pretrain on forecasting/imputation and finetune on classification
2297820195,tibeler,closed,2024-05-15 12:47:43+00:00,2024-05-16 12:53:00+00:00,有人在windows上运行成功吗
2296942605,xiaoanshi,closed,2024-05-15 06:06:07+00:00,2024-05-16 12:53:34+00:00,如何使用timesnet将多元时序变量预测为一个回归值
2295692109,yyhljz,closed,2024-05-14 14:47:05+00:00,2024-05-16 12:59:12+00:00,如果我想学习weather这份数据，请问怎么传参呢？
2292455513,Vincenzoee,closed,2024-05-13 10:42:41+00:00,2024-05-16 13:02:50+00:00,为什么多变量时序预测中挑选单变量进行预测
2292047352,tibeler,closed,2024-05-13 07:27:38+00:00,2024-05-16 12:54:29+00:00,mamba_ssm必须要用linux系统啊，没法用
2291698135,ztxtech,open,2024-05-13 02:57:37+00:00,,Add TEFN model
2290593232,ipe-zhangyz,closed,2024-05-11 01:58:31+00:00,2024-05-16 13:05:17+00:00,einops 0.4.0 cause the error: ImportError: cannot import name 'einsum' from 'einops'
2287223682,Jinshui-wang,closed,2024-05-09 08:56:36+00:00,2024-05-16 12:56:28+00:00,异常值检测问题
2284986815,yuanshuaiLK,closed,2024-05-08 08:17:38+00:00,2024-05-16 12:55:44+00:00,请教一些数据集和batch相关问题
2284482869,Alamoooooooo,closed,2024-05-08 01:18:38+00:00,2024-05-16 12:58:37+00:00,在使用单变量天频时间序列数据进行预测时，应该如何学习节假日特征？
2280882609,GrigoriiTarasov,closed,2024-05-06 13:26:26+00:00,2024-05-06 19:31:04+00:00,fixed model_name to FEDformer in ECL_script
2280862493,GrigoriiTarasov,closed,2024-05-06 13:16:26+00:00,2024-05-06 19:31:05+00:00,No such model 'Fedformer' during scripts/long_term_forecast/ECL_script/FEDformer.sh
2280014187,lizhuoq,closed,2024-05-06 04:38:26+00:00,2024-05-06 19:31:39+00:00,Remove redundant code from data_factory.py
